Principles,Canada,US,,UK,Spain,Switzerland,Sweden,Belgium,Amsterdam,Germany,Finland,France,Netherlands,Norway,Russia,Ireland,Italy,,Australia,New Zealand,,China,Singapore,UAE,Israel,India,Hong Kong,South Korea,Japan,,Colombia,Chile,,South Africa
Fairness,11,100,0,39,5,0,9,12,5,7,5,7,0,0,0,0,4,0,12,5,0,12,6,4,6,0,0,0,16,0,0,0,0,6
Transparency,24,124,0,34,5,10,9,12,5,23,10,14,0,7,5,5,4,0,12,5,0,4,14,4,6,5,3,7,16,0,10,0,0,0
Accountability,14,98,0,39,0,0,9,12,0,7,0,14,0,7,0,5,4,0,12,5,0,0,12,4,6,5,3,5,18,0,0,0,0,0
Safety,11,72,0,20,0,0,9,12,0,19,5,7,0,7,0,0,0,0,8,0,0,0,10,4,6,5,0,12,9,0,0,0,0,6
Security,5,77,0,25,5,10,9,12,0,9,5,0,0,0,0,5,0,0,12,5,0,12,0,4,6,5,0,5,18,0,10,4,0,0
Robustness,5,20,0,14,0,0,0,0,5,12,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Explainability,14,31,0,38,5,0,9,0,0,5,0,7,3,0,0,0,4,0,8,0,0,0,2,4,6,0,0,19,0,0,0,0,0,0
Interpretability,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Well-being,15,23,0,10,0,0,0,0,5,7,0,0,0,0,0,0,0,0,8,5,0,4,10,0,0,0,0,0,0,0,0,4,0,0
Human Oversight,0,5,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Human Rights,0,5,0,10,0,10,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,10,4,0,6
Sustainability,15,31,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Equity,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reliability,0,24,0,9,0,0,0,12,0,9,0,0,0,0,5,0,0,0,8,5,0,4,0,0,0,5,0,0,0,0,0,0,0,0
Privacy,15,98,0,37,5,0,0,0,0,7,5,14,0,7,0,0,0,0,12,5,0,12,0,4,6,5,0,12,25,0,10,0,0,6
Justice,0,16,0,8,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,8,4,0,0,0,0,0,0,0,0,0,0,0
Autonomy,15,21,0,5,0,0,0,0,0,0,0,7,0,7,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Human Dignity,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Responsibility,16,56,0,11,0,10,9,0,0,14,5,7,3,0,5,0,0,0,0,0,0,23,0,0,6,0,0,7,9,0,10,0,0,6
Solidarity,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beneficence,5,56,0,19,0,10,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0
Non-maleficence,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-discrimination,8,23,0,6,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,5,0,14,0,0,10,0,0,0
Contestability,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Human-centric,11,13,0,10,5,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Inclusiveness,5,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,4,0,0,0,0,0,0,0,4,0,6
Trustworthy,0,32,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0
Democracy,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governance,0,10,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,23,0,4,0,0,0,7,0,0,0,0,0,0
Bias,5,28,0,14,0,10,0,0,0,7,0,0,0,0,5,5,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0
Integrity,0,16,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0
Controllability,0,42,0,10,0,0,9,0,0,0,0,7,0,7,5,0,0,0,0,0,0,27,0,4,0,0,0,0,9,0,10,0,0,0
Accuracy,0,5,0,18,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
